Restaurant_Name,Restaurant_Web_Link,Review_Count,Price Range,Cuisines_offered_1,Cusines_offered_2,Review_1,Review_1_date,Review_2,Review_2_date,Category,Cuisines_offered_3,Cusines_offered_4,Cuisines_offered_5
La Fontaine de Mars,https://www.tripadvisor.com/Restaurant_Review-g187147-d718664-Reviews-La_Fontaine_de_Mars-Paris_Ile_de_France.html,"1,722 reviews",$$ - $$$,French,European,Great oysters!,12/3/2017,"Warm, cozy, traditional French bistro...",12/3/2017,,Vegetarian Friendly,,
Hugo,https://www.tripadvisor.com/Restaurant_Review-g187147-d801369-Reviews-Hugo-Paris_Ile_de_France.html,921 reviews,$$ - $$$,French,European,Tasty French cuisine and great value for m...,9/4/2017,Out of this world,8/22/2017,,Vegetarian Friendly,,
Mon Paris !,https://www.tripadvisor.com/Restaurant_Review-g187147-d8721656-Reviews-Mon_Paris-Paris_Ile_de_France.html,436 reviews,$$ - $$$,French,European,"Better and better, love this place",11/28/2017,Incredible experience!!!,11/27/2017,Bar,Vegetarian Friendly,Vegan Options,Gluten Free Options
Le Petit Medicis,https://www.tripadvisor.com/Restaurant_Review-g187147-d5810582-Reviews-Le_Petit_Medicis-Paris_Ile_de_France.html,606 reviews,$$ - $$$,French,European,Tip Top,11/12/2017,"Best poulet dish, better than many 5-star...",10/22/2017,,Vegetarian Friendly,,
Marclee,https://www.tripadvisor.com/Restaurant_Review-g187147-d7390700-Reviews-Marclee-Paris_Ile_de_France.html,321 reviews,$$ - $$$,Korean,Japanese,What is that Ceviche! Love love,11/11/2017,"Charming, intimate Asian Inspired Find",10/25/2017,,Asian,Thai,Fusion
Pain Vin Fromage,https://www.tripadvisor.com/Restaurant_Review-g187147-d943262-Reviews-Pain_Vin_Fromage-Paris_Ile_de_France.html,"1,558 reviews",$$ - $$$,French,European,Amazing experience!!!,11/12/2017,Amazing!,11/11/2017,Central European,Vegetarian Friendly,,
Bistrot du 1er,https://www.tripadvisor.com/Restaurant_Review-g187147-d2215667-Reviews-Bistrot_du_1er-Paris_Ile_de_France.html,416 reviews,$$ - $$$,French,European,Reopened under new ownership,9/11/2017,Lovely little spot,5/21/2017,,,,
Les Antiquaires,https://www.tripadvisor.com/Restaurant_Review-g187147-d1035274-Reviews-Les_Antiquaires-Paris_Ile_de_France.html,"1,034 reviews",$$ - $$$,French,European,Great Paris bistro,12/2/2017,Great food with a good price!,11/28/2017,,Vegetarian Friendly,Vegan Options,Gluten Free Options
Shiso Burger,https://www.tripadvisor.com/Restaurant_Review-g187147-d10460996-Reviews-Shiso_Burger-Paris_Ile_de_France.html,216 reviews,$$ - $$$,American,Fast Food,Very good burger close to Notre Dame,10/21/2017,Unpretentious excellence!,10/10/2017,,Asian,Fusion,Vegetarian Friendly
Siseng,https://www.tripadvisor.com/Restaurant_Review-g187147-d7656380-Reviews-Siseng-Paris_Ile_de_France.html,455 reviews,$$ - $$$,Asian,Vegetarian Friendly,Good different kind of burger,9/30/2017,Tasty Food in a Cool Setting,9/24/2017,,Vegan Options,,
A Cote,https://www.tripadvisor.com/Restaurant_Review-g187147-d8660581-Reviews-A_Cote-Paris_Ile_de_France.html,178 reviews,$$ - $$$,French,International,"Wonderful, tasty, great service",11/10/2017,Great food,10/30/2017,,European,,
Neromora Paris Ristorante Pizzeria,https://www.tripadvisor.com/Restaurant_Review-g187147-d7755812-Reviews-Neromora_Paris_Ristorante_Pizzeria-Paris_Ile_de_France.html,329 reviews,$$ - $$$,Italian,Pizza,the best one!,7/27/2017,Quite good Italian restaurant,7/25/2017,,Mediterranean,European,Vegetarian Friendly
La Vie d'Ange,https://www.tripadvisor.com/Restaurant_Review-g187147-d3485727-Reviews-La_Vie_d_Ange-Paris_Ile_de_France.html,492 reviews,$$ - $$$,French,European,What a small French restaurant should be,11/20/2017,Surpassed all expectations! Magnifique!,11/5/2017,,Vegetarian Friendly,Gluten Free Options,
20 Eiffel,https://www.tripadvisor.com/Restaurant_Review-g187147-d8637755-Reviews-20_Eiffel-Paris_Ile_de_France.html,262 reviews,$$ - $$$,French,European,Excellent service,11/19/2017,Amazing dinner,11/14/2017,,Vegetarian Friendly,Gluten Free Options,
Guibine,https://www.tripadvisor.com/Restaurant_Review-g187147-d919549-Reviews-Guibine-Paris_Ile_de_France.html,340 reviews,$$ - $$$,Barbecue,Asian,Great flavors! Excellent bulgogi,12/3/2017,"Nice taste, but felt chased out",11/26/2017,,Korean,Vegetarian Friendly,Vegan Options
Bistrot Richelieu,https://www.tripadvisor.com/Restaurant_Review-g187147-d1542343-Reviews-Bistrot_Richelieu-Paris_Ile_de_France.html,406 reviews,$$ - $$$,French,European,Casual and Wonderful,11/24/2017,Excellent Restaurant dans le centre de Par...,11/14/2017,,Vegetarian Friendly,Gluten Free Options,
Les Epiciers,https://www.tripadvisor.com/Restaurant_Review-g187147-d9610094-Reviews-Les_Epiciers-Paris_Ile_de_France.html,93 reviews,$$ - $$$,European,,AMAZING FIND,11/13/2017,Superb,10/3/2017,Wine Bar,,,
Le Jardin d'en Face,https://www.tripadvisor.com/Restaurant_Review-g187147-d780485-Reviews-Le_Jardin_d_en_Face-Paris_Ile_de_France.html,517 reviews,$$ - $$$,French,European,Small gem,10/26/2017,Gorgeous venue and gorgeous food !!,10/1/2017,,Vegetarian Friendly,,
Albert,https://www.tripadvisor.com/Restaurant_Review-g187147-d8373739-Reviews-Albert-Paris_Ile_de_France.html,229 reviews,$$ - $$$,French,European,Had an exellent time!,12/3/2017,A Great Find in the 9th Arrondissement,10/14/2017,,Vegetarian Friendly,Vegan Options,
la vache acrobate,https://www.tripadvisor.com/Restaurant_Review-g187147-d796424-Reviews-La_vache_acrobate-Paris_Ile_de_France.html,291 reviews,$$ - $$$,French,European,Dinner,11/9/2017,Dinner on Saturday,10/30/2017,,,,
Le Coq Rico,https://www.tripadvisor.com/Restaurant_Review-g187147-d2570750-Reviews-Le_Coq_Rico-Paris_Ile_de_France.html,745 reviews,$$ - $$$,French,,Interesting concept,11/26/2017,Very good but pricey,11/22/2017,,,,
Villa Verdi,https://www.tripadvisor.com/Restaurant_Review-g187147-d6277504-Reviews-Villa_Verdi-Paris_Ile_de_France.html,511 reviews,$$ - $$$,Italian,European,Fabulous meal,12/2/2017,Delicious meal,11/18/2017,,Vegetarian Friendly,Vegan Options,
Chez Leon,https://www.tripadvisor.com/Restaurant_Review-g187147-d714975-Reviews-Chez_Leon-Paris_Ile_de_France.html,313 reviews,$$ - $$$,French,,Excellent restaurant,11/7/2017,"Nice place, nice food.",11/1/2017,Bar,,,
Semilla,https://www.tripadvisor.com/Restaurant_Review-g187147-d2710981-Reviews-Semilla-Paris_Ile_de_France.html,918 reviews,$$ - $$$,French,European,A beautiful trap,11/23/2017,4+ for a really nice meal,11/10/2017,,Vegetarian Friendly,Vegan Options,Gluten Free Options
Holybelly,https://www.tripadvisor.com/Restaurant_Review-g187147-d5778095-Reviews-Holybelly-Paris_Ile_de_France.html,626 reviews,$$ - $$$,Cafe,European,breakfast,12/2/2017,Best pancakes ever!!!,11/30/2017,Australian,Vegetarian Friendly,Vegan Options,Gluten Free Options
La Cantine Du Troquet,https://www.tripadvisor.com/Restaurant_Review-g187147-d1139533-Reviews-La_Cantine_Du_Troquet-Paris_Ile_de_France.html,825 reviews,$$ - $$$,French,European,Excellent food and service,11/9/2017,Delectable,11/1/2017,,Vegetarian Friendly,,
Le Basilic,https://www.tripadvisor.com/Restaurant_Review-g187147-d779419-Reviews-Le_Basilic-Paris_Ile_de_France.html,"1,188 reviews",$$ - $$$,French,European,Great atmosphere,11/18/2017,Great Place to eat,11/13/2017,,Vegetarian Friendly,,
La Maison de Verlaine,https://www.tripadvisor.com/Restaurant_Review-g187147-d1830224-Reviews-La_Maison_de_Verlaine-Paris_Ile_de_France.html,"1,110 reviews",$$ - $$$,French,European,Dinner,12/2/2017,Wonderful snails,11/18/2017,,Vegetarian Friendly,,
Le Bistrot d'Henri,https://www.tripadvisor.com/Restaurant_Review-g187147-d719036-Reviews-Le_Bistrot_d_Henri-Paris_Ile_de_France.html,689 reviews,$$ - $$$,French,European,Great Food,11/21/2017,Amanzing amanzing amanzing,11/20/2017,,Vegetarian Friendly,,
Le Coupe-Chou,https://www.tripadvisor.com/Restaurant_Review-g187147-d778361-Reviews-Le_Coupe_Chou-Paris_Ile_de_France.html,"1,357 reviews",$$ - $$$,French,European,Good advice from the staff at our hotel,11/22/2017,delicious food,11/13/2017,,Vegetarian Friendly,,
Les Enfants Rouges,https://www.tripadvisor.com/Restaurant_Review-g187147-d1175069-Reviews-Les_Enfants_Rouges-Paris_Ile_de_France.html,341 reviews,$$ - $$$,French,,DELICIEUSE,11/8/2017,Better and better!,10/27/2017,,,,
Juste,https://www.tripadvisor.com/Restaurant_Review-g187147-d8448398-Reviews-Juste-Paris_Ile_de_France.html,128 reviews,$$ - $$$,Seafood,European,"Great seafood, enthusiastic staff :)",11/8/2017,Great Place,10/17/2017,,French,,
Miznon,https://www.tripadvisor.com/Restaurant_Review-g187147-d5504756-Reviews-Miznon-Paris_Ile_de_France.html,522 reviews,$$ - $$$,Mediterranean,Middle Eastern,Amazing,11/29/2017,I give it a 'very good' because there is n...,11/27/2017,Israeli,Vegetarian Friendly,Vegan Options,Kosher
Les Saisons,https://www.tripadvisor.com/Restaurant_Review-g187147-d2493773-Reviews-Les_Saisons-Paris_Ile_de_France.html,590 reviews,$$ - $$$,French,,Last Night in PAris,11/6/2017,Excellent little restaurant with genuine o...,8/11/2017,,,,
Le 52,https://www.tripadvisor.com/Restaurant_Review-g187147-d7310299-Reviews-Le_52-Paris_Ile_de_France.html,410 reviews,$$ - $$$,French,European,Friday lunch,11/10/2017,A foodie resturant,10/9/2017,,Vegetarian Friendly,,
Chez Fernand,https://www.tripadvisor.com/Restaurant_Review-g187147-d4520110-Reviews-Chez_Fernand-Paris_Ile_de_France.html,736 reviews,$$ - $$$,French,European,Lovely last dinner in Paris 'til next time...,11/29/2017,Excellent beef bourginon,11/28/2017,,,,
Le Jamoncito,https://www.tripadvisor.com/Restaurant_Review-g187147-d6802665-Reviews-Le_Jamoncito-Paris_Ile_de_France.html,323 reviews,$$ - $$$,Latin,Mediterranean,Great experience and great food!,9/28/2017,Great Tapas A slice of Spain,9/5/2017,,Spanish,European,
Le Colimacon,https://www.tripadvisor.com/Restaurant_Review-g187147-d1035630-Reviews-Le_Colimacon-Paris_Ile_de_France.html,726 reviews,$$ - $$$,Mediterranean,French,Without hesitation...,11/25/2017,Makes Tuesday Special,11/14/2017,,Barbecue,,
Wall Street Pigalle,https://www.tripadvisor.com/Restaurant_Review-g187147-d7240028-Reviews-Wall_Street_Pigalle-Paris_Ile_de_France.html,171 reviews,$$ - $$$,Vegetarian Friendly,,Awesome,11/23/2017,A great find while wandering around,10/13/2017,Bar,,,
Les Petits Crus,https://www.tripadvisor.com/Restaurant_Review-g187147-d10108135-Reviews-Les_Petits_Crus-Paris_Ile_de_France.html,103 reviews,$$ - $$$,French,European,"Cheese, wine and meats!",11/4/2017,Amazing,10/14/2017,Wine Bar,Vegetarian Friendly,,
Au Bougnat,https://www.tripadvisor.com/Restaurant_Review-g187147-d813472-Reviews-Au_Bougnat-Paris_Ile_de_France.html,"1,075 reviews",$$ - $$$,French,Vegetarian Friendly,Great finding in a touristic area,12/2/2017,Lunch after Notre-Dame,11/8/2017,,,,
La Ferrandaise,https://www.tripadvisor.com/Restaurant_Review-g187147-d786161-Reviews-La_Ferrandaise-Paris_Ile_de_France.html,545 reviews,$$ - $$$,French,European,Great food and atmosphere,12/3/2017,Fine dining as expected in Paris,11/28/2017,Gastropub,,,
